modeloBombilla,tipoLampara,streetAddress,codigo,distrito,barrio,Longitude,Latitude
FFLED005,http://vocab.linkeddata.es/datosabiertos/kos/urbanismo-infraestructuras/alumbrado-publico/tipo-lampara/led,CALLE DEL MAR DE OMAN 11,11119084,Hortaleza,4,445707.77600000000,4480530.87260000000
FFLED005,http://vocab.linkeddata.es/datosabiertos/kos/urbanismo-infraestructuras/alumbrado-publico/tipo-lampara/led,CALLE DEL MAR DEL JAPON 26,11119118,Hortaleza,4,445661.15330000000,4480562.93630000000
FFLED005,http://vocab.linkeddata.es/datosabiertos/kos/urbanismo-infraestructuras/alumbrado-publico/tipo-lampara/led,CALLE DEL MAR DEL JAPON 13,31008951,Hortaleza,4,445649.40510000000,4480560.32140000000
FFLED005,http://vocab.linkeddata.es/datosabiertos/kos/urbanismo-infraestructuras/alumbrado-publico/tipo-lampara/led,CALLE DEL MAR DEL JAPON 22,11119114,Hortaleza,4,445657.31740000000,4480551.310000000
FFLED005,http://vocab.linkeddata.es/datosabiertos/kos/urbanismo-infraestructuras/alumbrado-publico/tipo-lampara/led,CALLE DEL MAR DEL JAPON 20,11119112,Hortaleza,4,445653.56730000000,4480539.33640000000
FFLED005,http://vocab.linkeddata.es/datosabiertos/kos/urbanismo-infraestructuras/alumbrado-publico/tipo-lampara/led,CALLE DEL MAR MEDITERRANEO 6,20040012,Hortaleza,4,445619.92990000000,4480536.43560000000
FFLED005,http://vocab.linkeddata.es/datosabiertos/kos/urbanismo-infraestructuras/alumbrado-publico/tipo-lampara/led,CALLE DEL MAR MEDITERRANEO 9,11119166,Hortaleza,4,445601.56780000000,4480537.54680000000
FFLED005,http://vocab.linkeddata.es/datosabiertos/kos/urbanismo-infraestructuras/alumbrado-publico/tipo-lampara/led,PLAZA DEL DOCTOR CALVO PEREZ 2,11119214,Hortaleza,4,445556.21810000000,4480540.24560000000
FFLED005,http://vocab.linkeddata.es/datosabiertos/kos/urbanismo-infraestructuras/alumbrado-publico/tipo-lampara/led,CALLE DEL MAR MEDITERRANEO 4,11119142,Hortaleza,4,445588.67820000000,4480538.11130000000
FFLED002,http://vocab.linkeddata.es/datosabiertos/kos/urbanismo-infraestructuras/alumbrado-publico/tipo-lampara/led,CALLE DEL MAR CANTABRICO 9,11118999,Hortaleza,4,445540.20000000000,4480495.80000000000
